_step,beta_ce_std,beta_ce_mean,ce_offset_mean,S_CE_min,S_CU_std,G_cont_max,G_cont_mean,S_CU_max,cu_multiplier_mean,G_cont_std,S_CU_min,S_CE_mean,S_CE_std,G_cont_min,cu_multiplier_std,ce_offset_std,beta_cu_std,beta_cu_mean,S_CE_max,S_CU_mean
1,0.0,-0.30000001192092896,1.024999976158142,0.5012006163597107,0.01966356858611107,0.8021191358566284,0.748712956905365,0.6017471551895142,1.1000001430511475,0.009769787080585957,0.4356083273887634,0.503180742263794,0.00018189087859354913,0.7187742590904236,0.0,0.0,0.0,-0.6000000238418579,0.5044922828674316,0.49420779943466187
2,0.0,-0.30000001192092896,1.024999976158142,0.5011303424835205,0.01956133171916008,0.8065428137779236,0.7487241625785828,0.6107484102249146,1.1000001430511475,0.009718507528305054,0.4370276927947998,0.5031794309616089,0.00018393361824564636,0.7194339632987976,0.0,0.0,0.0,-0.6000000238418579,0.5049878358840942,0.4942314028739929
3,0.0013804653426632285,-0.29955828189849854,1.0254249572753906,0.5005760788917542,0.0208679661154747,0.8177938461303711,0.7487441897392273,0.6331352591514587,1.099542498588562,0.010363534092903137,0.41875624656677246,0.5032722353935242,0.0001938153727678582,0.7097939848899841,0.001381509704515338,0.0013814843259751797,0.0013554597971960902,-0.599614143371582,0.5051653385162354,0.494175523519516
4,0.004122516140341759,-0.2989029586315155,1.026050090789795,0.5013349056243896,0.01972386986017227,0.8041297793388367,0.7488559484481812,0.6056264638900757,1.0988399982452393,0.009786286391317844,0.43626388907432556,0.5034021735191345,0.00021804832795169204,0.719247579574585,0.0041144187562167645,0.0041201310232281685,0.004092409275472164,-0.5989515781402588,0.5055199861526489,0.4942646026611328
5,0.008234548382461071,-0.29787832498550415,1.0269668102264404,0.5006190538406372,0.019402457401156425,0.8025946021080017,0.7489901781082153,0.602357029914856,1.0977973937988281,0.009615376591682434,0.43692120909690857,0.5035669803619385,0.00030217174207791686,0.7191159725189209,0.008229038678109646,0.00825674831867218,0.00820063054561615,-0.598006010055542,0.5056874752044678,0.4943617284297943
6,0.013487005606293678,-0.2963319420814514,1.0281884670257568,0.5004650950431824,0.019169799983501434,0.796973466873169,0.749119758605957,0.5914247035980225,1.0964021682739258,0.009480763226747513,0.43730470538139343,0.5037424564361572,0.0004999129450879991,0.7201727628707886,0.013575111515820026,0.013651981018483639,0.013583328574895859,-0.5968336462974548,0.5073926448822021,0.49443674087524414
7,0.019509658217430115,-0.2939501404762268,1.0297999382019043,0.4988546073436737,0.01916544698178768,0.7988719344139099,0.7492945194244385,0.5948948264122009,1.0945643186569214,0.009493808262050152,0.4375860095024109,0.5040166974067688,0.000819228240288794,0.7202266454696655,0.01995738409459591,0.020115291699767113,0.020119914785027504,-0.595369279384613,0.508629322052002,0.49450165033340454
8,0.02597450651228428,-0.2907181978225708,1.0320699214935303,0.4965946078300476,0.023545419797301292,0.8009053468704224,0.7486078143119812,0.5983960628509521,1.0920603275299072,0.011724956333637238,0.4122243821620941,0.5041648745536804,0.001378496177494526,0.7075549960136414,0.02673163078725338,0.026971308514475822,0.027112729847431183,-0.5935448408126831,0.510827898979187,0.4929215908050537
9,0.03228132799267769,-0.28623002767562866,1.0346009731292725,0.49430012702941895,0.023043781518936157,0.7887378931045532,0.7490235567092896,0.5738043785095215,1.0893341302871704,0.011553745716810226,0.4141328036785126,0.5048313736915588,0.0017678781878203154,0.7072569727897644,0.0343635156750679,0.03464588522911072,0.035086847841739655,-0.5916584730148315,0.5154127478599548,0.4930574893951416
10,0.03848206251859665,-0.2824484407901764,1.036628246307373,0.49196991324424744,0.023158995434641838,0.7895512580871582,0.7492245435714722,0.5760372281074524,1.087027907371521,0.01166128646582365,0.4127340316772461,0.5050976872444153,0.0022391295060515404,0.7062525749206543,0.04148093983530998,0.04180912300944328,0.042577508836984634,-0.5901099443435669,0.5224665403366089,0.4931710958480835
