_step,S_CU_mean,beta_ce_std,cu_multiplier_mean,ce_offset_mean,beta_cu_std,S_CE_std,G_cont_std,S_CE_min,S_CU_max,G_cont_mean,S_CU_min,beta_cu_mean,G_cont_min,S_CE_mean,cu_multiplier_std,G_cont_max,ce_offset_std,S_CU_std,beta_ce_mean,S_CE_max
1,0.49424871802330017,0.0,1.1000001430511475,1.024999976158142,0.0,0.00025616539642214775,0.009795242920517921,0.5002588033676147,0.6111103892326355,0.748619794845581,0.4351746439933777,-0.6000000238418579,0.7179889678955078,0.5029565691947937,0.0,0.806698203086853,0.0,0.019704606384038925,-0.30000001192092896,0.5058144330978394
2,0.4942479133605957,0.0,1.1000001430511475,1.024999976158142,0.0,0.0002532668295316398,0.00955505296587944,0.5005707144737244,0.5925999283790588,0.748619019985199,0.43696150183677673,-0.6000000238418579,0.7191173434257507,0.5029556751251221,0.0,0.7975499629974365,0.0,0.019219785928726196,-0.30000001192092896,0.5053880214691162
3,0.4942435920238495,0.0014581966679543257,1.0997051000595093,1.0252304077148438,0.001452767406590283,0.00026564724976196885,0.009704269468784332,0.5009336471557617,0.5838634967803955,0.748664379119873,0.43705737590789795,-0.5997542142868042,0.7195656299591064,0.503047525882721,0.001424496527761221,0.7932217121124268,0.001460156636312604,0.019532734528183937,-0.2997489869594574,0.5059520602226257
4,0.49426525831222534,0.004381995182484388,1.099151849746704,1.0256907939910889,0.004367215093225241,0.00033553055254742503,0.009739565663039684,0.5007658004760742,0.6142785549163818,0.7487592697143555,0.4366135597229004,-0.5992691516876221,0.7193574905395508,0.5032086372375488,0.004311679862439632,0.8082919120788574,0.0043851700611412525,0.019631143659353256,-0.29924479126930237,0.507255494594574
5,0.4943529963493347,0.008521396666765213,1.098318338394165,1.026400089263916,0.008722406812012196,0.00047882142825983465,0.009623866528272629,0.5003880262374878,0.5872815847396851,0.7488914728164673,0.4360443949699402,-0.5985328555107117,0.7195026278495789,0.5033776760101318,0.008619875647127628,0.7950875759124756,0.00873082596808672,0.01942821778357029,-0.2982647120952606,0.5067888498306274
6,0.49440667033195496,0.013467333279550076,1.0970934629440308,1.0275120735168457,0.01433546096086502,0.0008077230304479599,0.009482812136411667,0.4995053708553314,0.5889263153076172,0.7490713000297546,0.4386693835258484,-0.5975715517997742,0.7212386131286621,0.5036735534667969,0.01408102735877037,0.7957571744918823,0.01418587937951088,0.019109109416604042,-0.29641494154930115,0.509566605091095
7,0.49285340309143066,0.01901950128376484,1.095571517944336,1.0288975238800049,0.021080870181322098,0.0012632682919502258,0.011413739994168282,0.4967166781425476,0.5806652307510376,0.7483664751052856,0.4130170941352844,-0.5963828563690186,0.7076019048690796,0.5037645101547241,0.020662007853388786,0.7919673919677734,0.020777735859155655,0.022976897656917572,-0.2935834527015686,0.5098727941513062
8,0.4929518699645996,0.025292735546827316,1.093506097793579,1.030697226524353,0.028604183346033096,0.0022650337778031826,0.011736231856048107,0.4888535141944885,0.6043426394462585,0.7483417987823486,0.4113841652870178,-0.5952432751655579,0.7036223411560059,0.5035865306854248,0.027705436572432518,0.8034194707870483,0.02797224186360836,0.02308274619281292,-0.29029425978660583,0.5135266780853271
9,0.4930931031703949,0.03171096369624138,1.091150164604187,1.0326889753341675,0.03667934983968735,0.002941285027191043,0.012020218186080456,0.4853217601776123,0.5923340320587158,0.7483739256858826,0.41098424792289734,-0.5943701267242432,0.7021276354789734,0.5034723281860352,0.035222310572862625,0.7979239225387573,0.03569091111421585,0.023282421752810478,-0.2862347960472107,0.5175172686576843
10,0.4931931495666504,0.037299055606126785,1.0889718532562256,1.0344853401184082,0.044068023562431335,0.003387236502021551,0.012195485644042492,0.4827287197113037,0.597533106803894,0.7489681243896484,0.4111328125,-0.5937833189964294,0.7022836208343506,0.5045396685600281,0.04216685891151428,0.7996288537979126,0.04281480610370636,0.023510634899139404,-0.2819932699203491,0.5185942649841309
