_step,S_CE_min,beta_ce_std,G_cont_min,beta_cu_mean,G_cont_std,beta_ce_mean,S_CU_max,G_cont_mean,ce_offset_mean,ce_offset_std,cu_multiplier_mean,S_CU_mean,beta_cu_std,S_CU_min,S_CE_max,S_CE_mean,S_CE_std,S_CU_std,cu_multiplier_std,G_cont_max
1,0.4965389668941498,0.0,0.7157649993896484,-0.6000000238418579,0.009634081274271011,-0.30000001192092896,0.5885319709777832,0.7483764886856079,1.024999976158142,0.0,1.1000001430511475,0.49424314498901367,0.0,0.4372355341911316,0.5053238868713379,0.5024828314781189,0.00037676538340747356,0.019339866936206818,0.0,0.7952132225036621
2,0.49936461448669434,0.0,0.7182114124298096,-0.6000000238418579,0.009798269718885422,-0.30000001192092896,0.6090744733810425,0.7483631372451782,1.024999976158142,0.0,1.1000001430511475,0.49421438574790955,0.0,0.43653959035873413,0.5040774941444397,0.5024839639663696,0.0003465743502601981,0.019676223397254944,0.0,0.8055624961853027
3,0.49671727418899536,0.0014480315148830414,0.715723991394043,-0.5997464656829834,0.009642158634960651,-0.29974365234375,0.5989019274711609,0.748471736907959,1.0252398252487183,0.0014451233437284827,1.0997097492218018,0.49426883459091187,0.0014265509089455009,0.43694862723350525,0.5056722164154053,0.5026427507400513,0.0003782177227549255,0.019371215254068375,0.0014245216734707355,0.800410270690918
4,0.4986197352409363,0.004291970282793045,0.718275785446167,-0.5992231369018555,0.009629888460040092,-0.2991778254508972,0.5895965099334717,0.7486138343811035,1.0257145166397095,0.004340919200330973,1.0991474390029907,0.49429768323898315,0.004282963462173939,0.4369865655899048,0.5060278177261353,0.5028893351554871,0.0004892269498668611,0.019383162260055542,0.0042891353368759155,0.7957943677902222
5,0.4965561628341675,0.008122090250253677,0.7050818800926208,-0.5984466671943665,0.010191862471401691,-0.2978706359863281,0.5970036387443542,0.7486228942871094,1.026611566543579,0.008474048227071762,1.0981078147888184,0.4939846396446228,0.008559128269553185,0.4117082953453064,0.5061850547790527,0.5032062530517578,0.0007773226825520396,0.020523933693766594,0.008378869853913784,0.7995311617851257
6,0.4956822395324707,0.012880586087703705,0.7067426443099976,-0.5974516868591309,0.01160931121557951,-0.2960684895515442,0.609305739402771,0.7481446266174316,1.0276944637298584,0.013803680427372456,1.0968825817108154,0.4928017854690552,0.01383721362799406,0.4115753173828125,0.5101286172866821,0.503389835357666,0.0012666912516579032,0.0234031043946743,0.013673844747245312,0.8066015243530273
7,0.4908151626586914,0.01811835914850235,0.7056362628936768,-0.5963860750198364,0.011903844773769379,-0.29329437017440796,0.6052595376968384,0.7482084035873413,1.0289700031280518,0.020177889615297318,1.0954370498657227,0.4927794933319092,0.020224276930093765,0.4116305708885193,0.5153448581695557,0.5035051703453064,0.0023250330705195665,0.023715971037745476,0.019993513822555542,0.8035115003585815
8,0.48249316215515137,0.023822184652090073,0.7014493942260742,-0.5954750776290894,0.012197534553706646,-0.2897658348083496,0.5926773548126221,0.7482531070709229,1.030519962310791,0.027148349210619926,1.0936298370361328,0.492936372756958,0.027271702885627747,0.4123245179653168,0.5196597576141357,0.5034015774726868,0.0037284973077476025,0.023531002923846245,0.02682306058704853,0.7980679273605347
9,0.4792162775993347,0.02950797975063324,0.7002432346343994,-0.594709575176239,0.012207764200866222,-0.2852131128311157,0.5977880954742432,0.7486256957054138,1.0323262214660645,0.03455616161227226,1.0914998054504395,0.4930993914604187,0.034951385110616684,0.4113340973854065,0.5260427594184875,0.5039624571800232,0.0036465004086494446,0.02352610044181347,0.034080371260643005,0.8009805679321289
10,0.4764401316642761,0.034612566232681274,0.700854480266571,-0.5940114855766296,0.012147954665124416,-0.2805335223674774,0.5893172025680542,0.749262809753418,1.0341039896011353,0.04139195382595062,1.0894205570220947,0.4931372404098511,0.04201606288552284,0.41149505972862244,0.527043342590332,0.5051835775375366,0.0041256314143538475,0.02333679422736168,0.040774039924144745,0.7954248785972595
11,0.4777069091796875,0.039090827107429504,0.7019516825675964,-0.593440055847168,0.012057606130838394,-0.2755669951438904,0.5768246054649353,0.7494716644287109,1.0356929302215576,0.047868408262729645,1.0875672101974487,0.49327704310417175,0.04849648475646973,0.4119662940502167,0.5293128490447998,0.5054559707641602,0.004247700795531273,0.023379145190119743,0.047111108899116516,0.7901064157485962
12,0.4789036512374878,0.04318079724907875,0.7011986970901489,-0.5929903388023376,0.011844280175864697,-0.27050578594207764,0.5804444551467896,0.7501346468925476,1.0371243953704834,0.05395064130425453,1.0858805179595947,0.49340128898620605,0.054401788860559464,0.40967997908592224,0.5369113087654114,0.5066491365432739,0.003939423710107803,0.023400453850626945,0.05304241180419922,0.7917460203170776
13,0.4740939140319824,0.04699694365262985,0.7040396928787231,-0.5926586389541626,0.011653385125100613,-0.2653842568397522,0.5819182395935059,0.7505048513412476,1.038421392440796,0.05968530476093292,1.0843255519866943,0.49349093437194824,0.059772178530693054,0.41149306297302246,0.5410876870155334,0.5072814226150513,0.0036835125647485256,0.023515697568655014,0.05860137566924095,0.790648877620697
14,0.4780726134777069,0.05068877339363098,0.7050442695617676,-0.592431902885437,0.011529895476996899,-0.26031357049942017,0.5637604594230652,0.7508028745651245,1.0396242141723633,0.06504639238119125,1.0828657150268555,0.4935280680656433,0.06465348601341248,0.41245362162590027,0.5392671823501587,0.5078310370445251,0.004027094226330519,0.023150211200118065,0.06377479434013367,0.7845298647880554
15,0.4785410761833191,0.054391972720623016,0.7057973146438599,-0.5923101305961609,0.011384997516870499,-0.255362331867218,0.6060096621513367,0.7511705160140991,1.0407390594482422,0.07004202157258987,1.0814998149871826,0.4936321973800659,0.06909430772066116,0.4137076735496521,0.5373477935791016,0.5084684491157532,0.004018720239400864,0.022987930104136467,0.06857600808143616,0.8054782748222351
16,0.4673616290092468,0.05810399726033211,0.7007346153259277,-0.5923063158988953,0.01163814403116703,-0.2505234181880951,0.5949100255966187,0.7512496709823608,1.041752815246582,0.07474387437105179,1.0802385807037354,0.4936397075653076,0.07313299924135208,0.4115291237831116,0.5391430854797363,0.5086119771003723,0.004263697657734156,0.02332715317606926,0.07306201756000519,0.7981442213058472
17,0.4710387885570526,0.06174634397029877,0.7007203102111816,-0.5924574732780457,0.011295456439256668,-0.24566349387168884,0.5918744802474976,0.7518212795257568,1.0426363945007324,0.07925631105899811,1.079103946685791,0.4937295913696289,0.07677637040615082,0.41334351897239685,0.535975456237793,0.5096535086631775,0.0040122950449585915,0.022895192727446556,0.0773012563586235,0.7966518402099609
18,0.46133047342300415,0.06537076830863953,0.6909738779067993,-0.5927397608757019,0.01121183019131422,-0.24080365896224976,0.5878338813781738,0.7518649101257324,1.0433975458145142,0.08358296006917953,1.0780808925628662,0.4938061237335205,0.08009441941976547,0.4135545492172241,0.5404856204986572,0.5096650123596191,0.0037979388143867254,0.022744443267583847,0.08130721002817154,0.7945026755332947
19,0.4570919871330261,0.06898694485425949,0.6846152544021606,-0.5931564569473267,0.011231421492993832,-0.23595653474330902,0.5849390029907227,0.7522529363632202,1.04402494430542,0.08773311227560043,1.077873945236206,0.4938236474990845,0.08311164379119873,0.41361042857170105,0.537519633769989,0.5104066729545593,0.004184859339147806,0.02277490869164467,0.0844292938709259,0.7902772426605225
20,0.4460078179836273,0.07261459529399872,0.6713976860046387,-0.5936597585678101,0.011170659214258194,-0.23120056092739105,0.5999154448509216,0.7526342272758484,1.044524073600769,0.09169113636016846,1.077727198600769,0.49386143684387207,0.08587805926799774,0.4146003723144531,0.5417582988739014,0.5111176371574402,0.00410544965416193,0.02278357371687889,0.08742282539606094,0.7955164909362793
21,0.440051794052124,0.0762663334608078,0.6648837327957153,-0.5942264199256897,0.011099236086010933,-0.2265738695859909,0.5987253189086914,0.7525312304496765,1.0448973178863525,0.09546463936567307,1.0776324272155762,0.49391457438468933,0.0884370505809784,0.4143252372741699,0.5399994254112244,0.5108201503753662,0.005427846685051918,0.022650500759482384,0.09028611332178116,0.7969081401824951
22,0.4295380115509033,0.0800141915678978,0.7051353454589844,-0.5948300361633301,0.011186409741640091,-0.22206416726112366,0.5951393246650696,0.7528537511825562,1.0451778173446655,0.09906286746263504,1.077567458152771,0.4939379096031189,0.09083182364702225,0.4134473204612732,0.5367188453674316,0.5114349126815796,0.005554450210183859,0.022941915318369865,0.093018539249897,0.7946904897689819
23,0.42332983016967773,0.08386263996362686,0.6635674238204956,-0.5954689383506775,0.011160314083099365,-0.2176906168460846,0.5955395698547363,0.7529167532920837,1.0453792810440063,0.10248442739248276,1.0775277614593506,0.4939510226249695,0.0930839255452156,0.4125221371650696,0.5419549942016602,0.511566162109375,0.0052935052663087845,0.022724557667970657,0.09561249613761902,0.7954057455062866
24,0.4221055507659912,0.08779260516166687,0.7044104933738708,-0.5961565971374512,0.010953168384730816,-0.21347269415855408,0.5541045665740967,0.7528369426727295,1.0455138683319092,0.10572566092014313,1.0775067806243896,0.493973970413208,0.09520363807678223,0.4145320653915405,0.5379475355148315,0.5113997459411621,0.004094534087926149,0.022452741861343384,0.09806168079376221,0.7820994257926941
25,0.41741102933883667,0.09180411696434021,0.6629659533500671,-0.5968595743179321,0.010994712822139263,-0.20939230918884277,0.5571650266647339,0.7529489398002625,1.0455912351608276,0.10880029201507568,1.077498435974121,0.49404090642929077,0.09722334146499634,0.4152448773384094,0.5408872365951538,0.5115439295768738,0.004805660806596279,0.022519629448652267,0.10037273913621902,0.7845104932785034
26,0.4175128936767578,0.09586320072412491,0.6631432175636292,-0.5975651741027832,0.011031592264771461,-0.20547208189964294,0.5524826049804688,0.7531009912490845,1.0456206798553467,0.11169984191656113,1.0774996280670166,0.4940459132194519,0.09915034472942352,0.41561052203178406,0.5434741973876953,0.5118467211723328,0.00488046370446682,0.022538628429174423,0.10253839939832687,0.7817001342773438
27,0.41186580061912537,0.09995252639055252,0.6633323431015015,-0.5982712507247925,0.011188662610948086,-0.20169803500175476,0.5962809324264526,0.7531841993331909,1.0456072092056274,0.11443665623664856,1.077508807182312,0.4940420985221863,0.10098615288734436,0.4142400920391083,0.5407669544219971,0.5120095014572144,0.005997717380523682,0.02261786162853241,0.10456807166337967,0.7946833968162537
