_step,beta_ce_std,ce_offset_std,G_cont_min,cu_multiplier_std,G_cont_std,beta_ce_mean,S_CU_std,S_CU_min,G_cont_max,beta_cu_std,S_CU_mean,beta_cu_mean,S_CE_max,cu_multiplier_mean,S_CU_max,S_CE_std,G_cont_mean,S_CE_mean,S_CE_min,ce_offset_mean
1,0.0,0.0,0.7193382978439331,0.0,0.009670167230069637,-0.30000001192092896,0.01946922019124031,0.43648847937583923,0.8025323152542114,0.0,0.4942236840724945,-0.6000000238418579,0.5044972896575928,1.1000001430511475,0.6024994254112244,0.00012902898015454412,0.7487871050834656,0.5033117532730103,0.5015358328819275,1.024999976158142
2,0.0,0.0,0.7199642062187195,0.0,0.009677229449152946,-0.30000001192092896,0.019485346972942352,0.4369184672832489,0.8024433851242065,0.0,0.4942193925380707,-0.6000000238418579,0.5050250291824341,1.1000001430511475,0.6022692322731018,0.00013039226178079844,0.7487837672233582,0.503309428691864,0.5019416809082031,1.024999976158142
3,0.001471194438636303,0.0014712768606841564,0.7171779870986938,0.0014683102490380406,0.009809167124330997,-0.29975825548171997,0.019756315276026726,0.43194302916526794,0.8115794062614441,0.0014674190897494555,0.494255006313324,-0.5997549891471863,0.5045187473297119,1.0997445583343506,0.6207137703895569,0.00012710053124465048,0.7488247752189636,0.5033538341522217,0.5017637014389038,1.0252227783203125
4,0.004407405853271484,0.004410639870911837,0.7189874053001404,0.004404630046337843,0.009714795276522636,-0.29926612973213196,0.019582396373152733,0.43504437804222107,0.8138939738273621,0.004382746294140816,0.4942914843559265,-0.5992861986160278,0.5048355460166931,1.0992364883422852,0.6252879500389099,0.00013762542221229523,0.7488858699798584,0.5034352540969849,0.501983106136322,1.0256682634353638
5,0.008756809867918491,0.008806217461824417,0.7145313620567322,0.0087882149964571,0.009896512143313885,-0.2984716296195984,0.019977867603302002,0.4255370497703552,0.8136272430419922,0.00876465905457735,0.49430033564567566,-0.5985695123672485,0.5053378343582153,1.0984655618667603,0.6247809529304504,0.00017412143643014133,0.7489473819732666,0.5035427212715149,0.5018471479415894,1.0263384580612183
6,0.01403304748237133,0.0141890374943614,0.7204077243804932,0.014107422903180122,0.009548019617795944,-0.2969358265399933,0.019311510026454926,0.4371689260005951,0.7896880507469177,0.014497299678623676,0.49438953399658203,-0.5976072549819946,0.5056536793708801,1.0970208644866943,0.5763391852378845,0.00026252714451402426,0.7490848898887634,0.503720760345459,0.5012895464897156,1.0275914669036865
7,0.020192677155137062,0.020622961223125458,0.7203091382980347,0.020495101809501648,0.009620554745197296,-0.2945556044578552,0.019505973905324936,0.4365447461605072,0.8021774291992188,0.021415378898382187,0.49448156356811523,-0.5963783264160156,0.5063548684120178,1.0949862003326416,0.601552426815033,0.00044668931514024734,0.7492551803588867,0.5039593577384949,0.5005196332931519,1.0293970108032227
8,0.0269749965518713,0.027907494455575943,0.7210335731506348,0.027715986594557762,0.009558770805597305,-0.2911874055862427,0.019337691366672516,0.438802570104599,0.811639666557312,0.029185058549046516,0.49455690383911133,-0.594866156578064,0.5079777240753174,1.0923593044281006,0.6204603910446167,0.0008249759557656944,0.7494556307792664,0.5042728185653687,0.49872446060180664,1.0317556858062744
9,0.03418689966201782,0.03571547940373421,0.7069981098175049,0.035429440438747406,0.01163010485470295,-0.28685587644577026,0.023350995033979416,0.41245245933532715,0.8001708388328552,0.037428706884384155,0.4930887222290039,-0.5931105613708496,0.5092830061912537,1.0890851020812988,0.5974886417388916,0.0013274045195430517,0.7488793134689331,0.5045344233512878,0.49550455808639526,1.0347222089767456
10,0.040870990604162216,0.042730070650577545,0.7067735195159912,0.04236430674791336,0.011759335175156593,-0.2824127972126007,0.023442087695002556,0.41351282596588135,0.7971552610397339,0.04475442320108414,0.49321913719177246,-0.5912778377532959,0.5114192962646484,1.0855985879898071,0.5901216864585876,0.001642728690057993,0.7491540312767029,0.5049357414245605,0.4927370250225067,1.0379141569137573
