_step,S_CE_max,S_CU_mean,G_cont_max,S_CE_std,S_CE_mean,G_cont_mean,beta_ce_std,ce_offset_mean,cu_multiplier_mean,G_cont_std,S_CE_min,G_cont_min,beta_ce_mean,S_CU_min,S_CU_std,S_CU_max,beta_cu_mean,ce_offset_std,beta_cu_std,cu_multiplier_std
1,0.5042102932929993,0.494218111038208,0.8001810312271118,0.00012226600665599108,0.5033044815063477,0.7487802505493164,0.0,1.024999976158142,1.1000001430511475,0.009886856190860271,0.5014185309410095,0.7166993618011475,-0.30000001192092896,0.43148836493492126,0.019904274493455887,0.5977074503898621,-0.6000000238418579,0.0,0.0,0.0
2,0.5041942000389099,0.4942191541194916,0.8081375956535339,0.00011988757614744827,0.5033035278320312,0.748780369758606,0.0,1.024999976158142,1.1000001430511475,0.009824548847973347,0.5015885829925537,0.7178058624267578,-0.30000001192092896,0.4333563446998596,0.019778912886977196,0.613663911819458,-0.6000000238418579,0.0,0.0,0.0
3,0.5041835308074951,0.49426794052124023,0.8004717230796814,0.00011582272418309003,0.5033493041992188,0.7488285899162292,0.001452248776331544,1.0252350568771362,1.099719524383545,0.009644482284784317,0.5019900798797607,0.7195293307304382,-0.29974445700645447,0.4359634816646576,0.01942415162920952,0.5981864333152771,-0.59975266456604,0.0014540563570335507,0.0014591759536415339,0.0014380242209881544
4,0.5047450065612793,0.49429523944854736,0.7887097597122192,0.00012794391659554094,0.5034355521202087,0.7488875389099121,0.004332862328737974,1.0257198810577393,1.09912109375,0.009658090770244598,0.5019714832305908,0.7199122905731201,-0.29920434951782227,0.4369851350784302,0.019466491416096687,0.5745510458946228,-0.5992571711540222,0.004350299946963787,0.004385507199913263,0.004280951339751482
5,0.5055080056190491,0.4943315386772156,0.7956984043121338,0.00016815125127322972,0.5035500526428223,0.7489661574363708,0.008580167777836323,1.0264533758163452,1.0982102155685425,0.009628496132791042,0.5014348030090332,0.7193509340286255,-0.29831966757774353,0.4365943670272827,0.019433658570051193,0.5885745882987976,-0.5985192060470581,0.008671971037983894,0.008755567483603954,0.0085159782320261
6,0.5056536197662354,0.49440997838974,0.7945472598075867,0.0002583403547760099,0.5037347674369812,0.7491015791893005,0.01382402516901493,1.0276387929916382,1.0967426300048828,0.009406721219420433,0.5011964440345764,0.7205213308334351,-0.29678475856781006,0.43836480379104614,0.019014332443475723,0.5859570503234863,-0.5975527763366699,0.01406010240316391,0.01437141839414835,0.013784762471914291
7,0.5058223605155945,0.49448511004447937,0.8061237335205078,0.00040338386315852404,0.5039756298065186,0.749264121055603,0.019878413528203964,1.0294082164764404,1.0946260690689087,0.009736649692058563,0.5005965232849121,0.7164820432662964,-0.2943739593029022,0.42901933193206787,0.0197280440479517,0.6094539165496826,-0.5962834358215332,0.020371850579977036,0.021114999428391457,0.020014816895127296
8,0.5073530673980713,0.4946131110191345,0.7935761213302612,0.0006644318345934153,0.504351794719696,0.7495211362838745,0.026480289176106453,1.0319116115570068,1.0917906761169434,0.009365228936076164,0.49866530299186707,0.7195448875427246,-0.29107213020324707,0.4374907910823822,0.018939878791570663,0.5842029452323914,-0.5946427583694458,0.02713848650455475,0.028323279693722725,0.02677062153816223
9,0.5083928108215332,0.4947216212749481,0.7941111326217651,0.0008140096324495971,0.504966139793396,0.7498887777328491,0.03356604650616646,1.0350474119186401,1.0882940292358398,0.009071094915270805,0.49952268600463867,0.7211403846740723,-0.2869560420513153,0.4380326271057129,0.018268147483468056,0.5843452215194702,-0.5926641821861267,0.034291159361600876,0.03580936789512634,0.03392186388373375
10,0.5109648704528809,0.49320778250694275,0.7906708717346191,0.0010380911407992244,0.5054168701171875,0.7493866682052612,0.04051963984966278,1.0374088287353516,1.0855993032455444,0.01132521964609623,0.49801287055015564,0.707972526550293,-0.2836715579032898,0.41318902373313904,0.022852834314107895,0.5775463581085205,-0.5910021066665649,0.041071999818086624,0.043056342750787735,0.0405413843691349
