_step,extra/router_stats/stt/layer_5/m_cu_pos,extra/router_stats/stt/layer_11/causal_router_accuracy,extra/router_stats/stt/layer_23/o_ce_pos,extra/router_stats/stt/layer_3/causal_router_accuracy,extra/router_stats/stt/layer_7/S_CU_mean,extra/val_router_stats/stt/layer_1/inferred_selected_tokens_proportion,extra/router_stats/stt/layer_19/o_ce_pos,extra/router_stats/stt/layer_23/S_CU_mean,extra/router_stats/stt/layer_15/S_CU_mean,extra/val_router_stats/stt/layer_11/inferred_selected_tokens_proportion,extra/router_stats/stt/layer_19/selected_tokens_proportion,extra/router_stats/stt/layer_5/o_ce_pos,extra/router_stats/stt/layer_23/causal_router_accuracy,extra/router_stats/stt/layer_15/m_cu_pos,extra/router_stats/stt/layer_13/o_ce_pos,extra/router_stats/stt/layer_5/selected_tokens_proportion,extra/val_router_stats/stt/layer_13/inferred_selected_tokens_proportion,extra/router_stats/stt/layer_9/o_ce_pos,extra/router_stats/stt/layer_13/S_CU_mean,extra/val_router_stats/stt/layer_5/inferred_selected_tokens_proportion,extra/router_stats/stt/layer_17/S_CE_mean,extra/router_stats/stt/layer_17/m_cu_pos,extra/router_stats/stt/layer_19/g_cont_mean,extra/router_stats/stt/layer_21/S_CU_mean,train/loss/stt_g_reg_loss_unscaled,extra/router_stats/stt/layer_7/m_cu_pos,extra/router_stats/stt/layer_15/selected_tokens_proportion,extra/router_stats/stt/layer_21/m_cu_pos,extra/router_stats/stt/layer_11/S_CU_mean,train/loss/stt_tpn_loss_unscaled,extra/router_stats/stt/layer_17/selected_tokens_proportion,extra/router_stats/stt/layer_17/causal_router_accuracy,extra/router_stats/stt/layer_7/S_CE_mean,extra/router_stats/stt/layer_1/causal_router_accuracy,extra/router_stats/stt/layer_1/S_CU_mean,extra/router_stats/stt/layer_23/m_cu_pos,extra/router_stats/stt/layer_3/S_CE_mean,train/loss/stt_causal_router_loss_unscaled,extra/router_stats/stt/layer_11/m_cu_pos,extra/router_stats/stt/layer_1/S_CE_mean,extra/val_router_stats/stt/layer_23/inferred_selected_tokens_proportion,extra/router_stats/stt/layer_3/m_cu_pos,extra/router_stats/stt/layer_23/g_cont_mean,extra/router_stats/stt/layer_17/o_ce_pos,extra/val_router_stats/stt/layer_17/inferred_selected_tokens_proportion,extra/router_stats/stt/layer_3/S_CU_mean,extra/router_stats/stt/layer_21/S_CE_mean,extra/router_stats/stt/layer_9/S_CU_mean,extra/router_stats/stt/layer_5/S_CE_mean,extra/router_stats/stt/layer_21/selected_tokens_proportion,extra/router_stats/stt/layer_9/g_cont_mean,extra/val_router_stats/stt/layer_15/inferred_selected_tokens_proportion,extra/router_stats/stt/layer_7/causal_router_accuracy,extra/router_stats/stt/layer_5/S_CU_mean,extra/router_stats/stt/layer_19/causal_router_accuracy,extra/router_stats/stt/layer_1/g_cont_mean,extra/router_stats/stt/layer_17/g_cont_mean,extra/router_stats/stt/layer_9/m_cu_pos,extra/val_router_stats/stt/layer_19/inferred_selected_tokens_proportion,train/loss/stt_g_reg_loss_scaled,extra/router_stats/stt/layer_5/g_cont_mean,extra/router_stats/stt/layer_7/g_cont_mean,extra/router_stats/stt/layer_7/selected_tokens_proportion,extra/router_stats/stt/layer_3/selected_tokens_proportion,extra/val_router_stats/stt/layer_7/inferred_selected_tokens_proportion,extra/router_stats/stt/layer_11/o_ce_pos,extra/router_stats/stt/layer_17/S_CU_mean,extra/router_stats/stt/layer_13/causal_router_accuracy,extra/val_router_stats/stt/layer_21/inferred_selected_tokens_proportion,extra/router_stats/stt/layer_21/causal_router_accuracy,extra/router_stats/stt/layer_11/S_CE_mean,extra/router_stats/stt/layer_1/m_cu_pos,extra/router_stats/stt/layer_5/causal_router_accuracy,extra/router_stats/stt/layer_9/S_CE_mean,extra/router_stats/stt/layer_11/g_cont_mean,extra/router_stats/stt/layer_23/S_CE_mean,extra/router_stats/stt/layer_19/S_CU_mean,extra/router_stats/stt/layer_15/g_cont_mean,extra/router_stats/stt/layer_13/selected_tokens_proportion,extra/router_stats/stt/layer_15/o_ce_pos,extra/router_stats/stt/layer_21/o_ce_pos,extra/router_stats/stt/layer_15/S_CE_mean,extra/router_stats/stt/layer_13/g_cont_mean,extra/val_router_stats/stt/layer_3/inferred_selected_tokens_proportion,extra/router_stats/stt/layer_1/selected_tokens_proportion,extra/val_router_stats/stt/layer_9/inferred_selected_tokens_proportion,train/loss/stt_tpn_loss_scaled,extra/router_stats/stt/layer_21/g_cont_mean,extra/router_stats/stt/layer_9/causal_router_accuracy,extra/router_stats/stt/layer_1/o_ce_pos,extra/router_stats/stt/layer_13/S_CE_mean,extra/router_stats/stt/layer_3/o_ce_pos,extra/router_stats/stt/layer_9/selected_tokens_proportion,extra/router_stats/stt/layer_7/o_ce_pos,extra/router_stats/stt/layer_15/causal_router_accuracy,extra/router_stats/stt/layer_13/m_cu_pos,extra/router_stats/stt/layer_23/selected_tokens_proportion,extra/router_stats/stt/layer_19/m_cu_pos,extra/router_stats/stt/layer_11/selected_tokens_proportion,extra/router_stats/stt/layer_3/g_cont_mean,extra/router_stats/stt/layer_19/S_CE_mean
1,1.3873353004455566,0.6156005859375,1.3315993547439575,0.1630859375,0.4981742203235626,,1.3315993547439575,0.4979545474052429,0.49789267778396606,,1.0,1.3315993547439575,1.0,1.3873353004455566,1.3315993547439575,1.0,,1.3315993547439575,0.49827688932418823,,0.5065243244171143,1.3873353004455566,0.752631425857544,0.4980792701244354,0.7524797320365906,1.3873353004455566,1.0,1.3873353004455566,0.4980464279651642,0.20941554009914398,1.0,1.0,0.5068779587745667,0.175537109375,0.4989747703075409,1.3873353004455566,0.5069564580917358,0.6669403314590454,1.3873353004455566,0.5069211721420288,,1.3873353004455566,0.7524025440216064,1.3315993547439575,,0.4977262616157532,0.5069277882575989,0.49786239862442017,0.5069977641105652,1.0,0.7523568272590637,,0.0166015625,0.4977013170719147,0.88134765625,0.7529550790786743,0.7521713972091675,1.3873353004455566,,0.007524797227233648,0.7523655891418457,0.7525386810302734,1.0,1.0,,1.3315993547439575,0.4977897107601166,0.971923828125,,0.0,0.506779670715332,1.3873353004455566,1.0,0.5068220496177673,0.752426266670227,0.5068227052688599,0.4983140826225281,0.7524482607841492,1.0,1.3315993547439575,1.3315993547439575,0.506974458694458,0.7525861263275146,,1.0,,0.010470776818692684,0.7525168061256409,1.0,1.3315993547439575,0.5068717002868652,1.3315993547439575,1.0,1.3315993547439575,0.0009765625,1.3873353004455566,1.0,1.3873353004455566,1.0,0.7523571252822876,0.5069254636764526
2,1.3873353004455566,0.06982421875,1.3315993547439575,0.1414794921875,0.4980841279029846,,1.3315993547439575,0.49810728430747986,0.4978961646556854,,1.0,1.3315993547439575,1.0,1.3873353004455566,1.3315993547439575,1.0,,1.3315993547439575,0.49826860427856445,,0.5064432621002197,1.3873353004455566,0.7525683641433716,0.49809932708740234,0.7524749636650085,1.3873353004455566,1.0,1.3873353004455566,0.49807989597320557,0.20895080268383026,1.0,1.0,0.5068554878234863,0.165283203125,0.49897339940071106,1.3873353004455566,0.5069506764411926,0.6566511392593384,1.3873353004455566,0.5069174766540527,,1.3873353004455566,0.7525048851966858,1.3315993547439575,,0.4977443218231201,0.5069268345832825,0.497871994972229,0.5069736838340759,1.0,0.7523813247680664,,0.0064697265625,0.4977852702140808,0.9775390625,0.7529525756835938,0.7521156668663025,1.3873353004455566,,0.007524749264121056,0.7523949146270752,0.7524829506874084,1.0,1.0,,1.3315993547439575,0.49775922298431396,0.998779296875,,0.000244140625,0.5067393779754639,1.3873353004455566,1.0,0.5068613290786743,0.752422571182251,0.5068764686584473,0.4982510209083557,0.7524269819259644,1.0,1.3315993547439575,1.3315993547439575,0.506928563117981,0.7525593042373657,,1.0,,0.010447540320456028,0.7525262236595154,0.9998779296875,1.3315993547439575,0.5068262815475464,1.3315993547439575,1.0,1.3315993547439575,0.0009765625,1.3873353004455566,1.0,1.3873353004455566,1.0,0.7523632049560547,0.5068618059158325
3,1.3870742321014404,0.0042724609375,1.3313487768173218,0.1729736328125,0.4981191158294678,,1.3313429355621338,0.4981634020805359,0.4978557527065277,,1.0,1.3318499326705933,1.0,1.3870736360549927,1.3313428163528442,1.0,,1.3313429355621338,0.4983193874359131,,0.5066981315612793,1.3875293731689453,0.7526003122329712,0.49823230504989624,0.7524840831756592,1.3875874280929565,1.0,1.3875906467437744,0.4980663061141968,0.20832189917564392,1.0,1.0,0.5067870616912842,0.1680908203125,0.49896517395973206,1.387585163116455,0.5070176124572754,0.6873334646224976,1.3870736360549927,0.5068734884262085,,1.38728928565979,0.7525268793106079,1.331375241279602,,0.4977271556854248,0.5068426132202148,0.49781912565231323,0.5070931911468506,1.0,0.752305269241333,,0.0003662109375,0.4977114498615265,0.4617919921875,0.7529264688491821,0.7521922588348389,1.3875911235809326,,0.007524840533733368,0.752418577671051,0.7524658441543579,1.0,1.0,,1.331850528717041,0.4976550042629242,0.879638671875,,0.0001220703125,0.5068374872207642,1.3875912427902222,1.0,0.5067620277404785,0.7524651288986206,0.5068652033805847,0.4982547163963318,0.7524411082267761,1.0,1.331850528717041,1.331343412399292,0.5069964528083801,0.752529501914978,,1.0,,0.010416095145046711,0.7525495290756226,0.9998779296875,1.3313428163528442,0.5067170858383179,1.3316118717193604,1.0,1.3313467502593994,0.0009765625,1.3875912427902222,1.0,1.3875912427902222,1.0,0.7523883581161499,0.5069217681884766
4,1.3865537643432617,0.0,1.330863118171692,0.3331298828125,0.4979920983314514,,1.3308333158493042,0.49808764457702637,0.4980319142341614,,1.0,1.3323500156402588,1.0,1.3865503072738647,1.33083176612854,1.0,,1.3308310508728027,0.498229444026947,,0.506695568561554,1.3879188299179077,0.752386212348938,0.4980361759662628,0.7524670362472534,1.3880937099456787,1.0,1.3881020545959473,0.49807584285736084,0.20877403020858765,1.0,1.0,0.5065430402755737,0.177978515625,0.49896520376205444,1.388069987297058,0.5071256160736084,0.6589200496673584,1.3865512609481812,0.5067936182022095,,1.3870059251785278,0.7525739669799805,1.3309619426727295,,0.49784424901008606,0.5067372918128967,0.49786972999572754,0.5071699023246765,1.0,0.7521947622299194,,0.002197265625,0.4978044033050537,0.984619140625,0.7528864145278931,0.7522701025009155,1.3881020545959473,,0.007524670101702213,0.7525029182434082,0.7522807121276855,1.0,1.0,,1.3323523998260498,0.4978153705596924,0.996826171875,,0.0096435546875,0.5070687532424927,1.3880997896194458,1.0,0.5064921379089355,0.7525858879089355,0.5070334672927856,0.4982042908668518,0.7525992393493652,1.0,1.3323533535003662,1.3308309316635132,0.5071383714675903,0.7524233460426331,,1.0,,0.010438702069222927,0.7523999810218811,0.9990234375,1.3308331966400146,0.5065939426422119,1.3318514823913574,1.0,1.3308390378952026,0.0009765625,1.3881014585494995,1.0,1.3880999088287354,1.0,0.7525002956390381,0.5065447092056274
5,1.385779619216919,0.0970458984375,1.3302351236343384,0.0594482421875,0.49810126423835754,,1.3300758600234985,0.4981183409690857,0.49789315462112427,,1.0,1.333093523979187,1.0,1.3857665061950684,1.3300684690475464,1.0,,1.3300623893737793,0.49821677803993225,,0.5069541931152344,1.3883180618286133,0.752276599407196,0.4981403946876526,0.7524318099021912,1.3888546228408813,1.0,1.388864278793335,0.49804943799972534,0.21185347437858582,1.0,1.0,0.5062956809997559,0.17822265625,0.49898236989974976,1.3886942863464355,0.507315993309021,0.662382185459137,1.3857718706130981,0.5066205859184265,,1.3864797353744507,0.7526215314865112,1.3304964303970337,,0.4977293014526367,0.5063834190368652,0.49792203307151794,0.5073593854904175,1.0,0.7520387768745422,,0.000244140625,0.4978063106536865,0.9981689453125,0.7528082132339478,0.7523319125175476,1.3888696432113647,,0.007524318061769009,0.7525990009307861,0.7522104382514954,1.0,1.0,,1.3331013917922974,0.49767738580703735,0.9736328125,,0.0,0.5072000622749329,1.3888603448867798,1.0,0.5061299800872803,0.7526388168334961,0.5070979595184326,0.49825090169906616,0.752631664276123,1.0,1.3331069946289062,1.33006751537323,0.5073392987251282,0.7522113919258118,,1.0,,0.010592673905193806,0.7522737979888916,0.9989013671875,1.3300710916519165,0.5061838626861572,1.332319974899292,1.0,1.3300769329071045,0.0008544921875,1.3888638019561768,1.0,1.3888554573059082,1.0,0.7525392770767212,0.5062803626060486
6,1.3847664594650269,0.0,1.3298486471176147,0.0015869140625,0.49800533056259155,,1.3290989398956299,0.4979866147041321,0.49778497219085693,,1.0,1.3340671062469482,1.0,1.3847272396087646,1.3290729522705078,1.0,,1.3290393352508545,0.4981739819049835,,0.5068453550338745,1.3881547451019287,0.7521026730537415,0.4980185627937317,0.7523651123046875,1.3898718357086182,1.0,1.3898741006851196,0.498065710067749,0.21707908809185028,1.0,1.0,0.5057637095451355,0.2073974609375,0.4989572763442993,1.389068603515625,0.5073747634887695,0.6776098012924194,1.3847453594207764,0.5064054727554321,,1.3865238428115845,0.7525978088378906,1.3305473327636719,,0.49791911244392395,0.5061245560646057,0.49787890911102295,0.5073835849761963,1.0,0.7518850564956665,,0.0,0.49786412715911865,0.9984130859375,0.7526880502700806,0.7523730397224426,1.3898916244506836,,0.007523650769144297,0.7526395320892334,0.7518960237503052,1.0,1.0,,1.3340882062911987,0.4978715181350708,0.9822998046875,,0.270751953125,0.5073806643486023,1.389858365058899,1.0,0.505866289138794,0.7527375221252441,0.5071799755096436,0.4982871413230896,0.7526601552963257,1.0,1.3341065645217896,1.3290578126907349,0.5075020790100098,0.7520559430122375,,1.0,,0.010853954590857029,0.7520837187767029,0.9991455078125,1.3290709257125854,0.5059162378311157,1.332227349281311,1.0,1.329059362411499,0.0006103515625,1.3898593187332153,1.0,1.3898299932479858,1.0,0.7526623010635376,0.5058979988098145
7,1.3836262226104736,0.0,1.3296517133712769,0.1680908203125,0.4981324076652527,,1.3280190229415894,0.49814683198928833,0.4979780912399292,,1.0,1.3351601362228394,1.0,1.383509874343872,1.3279227018356323,1.0,,1.3278251886367798,0.4982317090034485,,0.5075540542602539,1.3875197172164917,0.7519136667251587,0.49808353185653687,0.7522897720336914,1.3911476135253906,1.0,1.3910908699035645,0.49804621934890747,0.22345703840255737,1.0,1.0,0.5051485300064087,0.163818359375,0.49896925687789917,1.3892472982406616,0.5076103210449219,0.6797775626182556,1.3835175037384033,0.5057938098907471,,1.38627290725708,0.752804696559906,1.331080675125122,,0.4976857900619507,0.5059013366699219,0.4978272020816803,0.5077635049819946,1.0,0.7513450384140015,,0.00341796875,0.4977389872074127,0.90380859375,0.7523876428604126,0.7526031732559204,1.3911038637161255,,0.007522897329181433,0.7527687549591064,0.7516500949859619,1.0,1.0,,1.3352675437927246,0.49761641025543213,0.3558349609375,,0.000244140625,0.5076484680175781,1.3910527229309082,1.0,0.5048418641090393,0.752862274646759,0.5074349641799927,0.49824339151382446,0.7528629302978516,1.0,1.335278034210205,1.3278414011001587,0.5077164769172668,0.7516100406646729,,1.0,,0.011172852478921413,0.7520036697387695,0.99755859375,1.3278740644454956,0.5049707889556885,1.332422137260437,1.0,1.3277839422225952,0.0008544921875,1.3910090923309326,1.0,1.3909058570861816,1.0,0.7526656985282898,0.5055643916130066
8,1.3827117681503296,0.0,1.3288969993591309,0.0302734375,0.49798810482025146,,1.32735276222229,0.49807336926460266,0.4980095624923706,,1.0,1.3360185623168945,1.0,1.3828073740005493,1.3269553184509277,1.0,,1.3267438411712646,0.4981538653373718,,0.5073850750923157,1.386752963066101,0.7520254254341125,0.4979735314846039,0.7523247599601746,1.392608404159546,1.0,1.3923934698104858,0.49814262986183167,0.2184051275253296,1.0,1.0,0.5044951438903809,0.1676025390625,0.4989854395389557,1.389986515045166,0.5074999332427979,0.6670960187911987,1.3823795318603516,0.5062580704689026,,1.3868299722671509,0.7527280449867249,1.3317419290542603,,0.4978899657726288,0.5060672163963318,0.49788421392440796,0.5076636075973511,1.0,0.7515791654586792,,0.0,0.49793070554733276,0.999755859375,0.7526282072067261,0.7526319026947021,1.3921746015548706,,0.007523247506469488,0.7528130412101746,0.751250684261322,1.0,1.0,,1.336357831954956,0.4978468418121338,0.9989013671875,,0.667236328125,0.5077028274536133,1.3914411067962646,1.0,0.5052518844604492,0.7529370188713074,0.5073543787002563,0.49814552068710327,0.7528054714202881,1.0,1.3359296321868896,1.3265353441238403,0.5075712203979492,0.7517545223236084,,1.0,,0.01092025637626648,0.7520326375961304,0.575439453125,1.3274672031402588,0.5053355693817139,1.3318363428115845,1.0,1.3263230323791504,0.0001220703125,1.391959309577942,1.0,1.3915566205978394,1.0,0.7527108192443848,0.5058834552764893
9,1.3822102546691895,0.0,1.327784776687622,0.01171875,0.4978664517402649,,1.3270444869995117,0.4980223774909973,0.4978901743888855,,1.0,1.3364624977111816,1.0,1.3827637434005737,1.3263190984725952,1.0,,1.3258849382400513,0.4981492757797241,,0.5077787637710571,1.3859885931015015,0.7523350715637207,0.4979378879070282,0.7523514628410339,1.394264817237854,1.0,1.3937466144561768,0.4980495572090149,0.2180955410003662,1.0,1.0,0.5033661127090454,0.1817626953125,0.49894964694976807,1.3910855054855347,0.5077250599861145,0.6773325204849243,1.3814812898635864,0.5063896179199219,,1.3876663446426392,0.7526369690895081,1.3323904275894165,,0.49792999029159546,0.5064337253570557,0.497862845659256,0.5077333450317383,1.0,0.7516406774520874,,0.00048828125,0.49784618616104126,1.0,0.7526763677597046,0.7528408765792847,1.3930106163024902,,0.0075235143303871155,0.7528064250946045,0.7506235241889954,1.0,1.0,,1.3372164964675903,0.4978698194026947,0.96435546875,,0.0003662109375,0.5078140497207642,1.3911387920379639,1.0,0.5053954720497131,0.7529470920562744,0.5072230100631714,0.49823659658432007,0.752787709236145,1.0,1.335925817489624,1.3251762390136719,0.507652997970581,0.751880407333374,,1.0,,0.010904776863753796,0.7521990537643433,0.9688720703125,1.3277322053909302,0.5055908560752869,1.3309801816940308,1.0,1.3246604204177856,0.00048828125,1.3925613164901733,1.0,1.3918415307998657,1.0,0.7528434991836548,0.5064110159873962
10,1.3821874856948853,0.001220703125,1.3263343572616577,0.0850830078125,0.49797195196151733,,1.3268840312957764,0.4981236457824707,0.4980204105377197,,1.0,1.336432695388794,1.0,1.3831617832183838,1.325964093208313,1.0,,1.3254320621490479,0.49818652868270874,,0.5083945989608765,1.3857808113098145,0.7525035738945007,0.49797770380973816,0.7523040771484375,1.3961355686187744,1.0,1.3952016830444336,0.49800848960876465,0.223785400390625,1.0,1.0,0.5008279085159302,0.162841796875,0.4989340901374817,1.3925256729125977,0.5080858469009399,0.6894468069076538,1.3807158470153809,0.5065798759460449,,1.3880032300949097,0.752569854259491,1.3324919939041138,,0.4976690411567688,0.5068880915641785,0.49778515100479126,0.5076650977134705,1.0,0.7518419623374939,,0.0001220703125,0.49768540263175964,0.9990234375,0.7527640461921692,0.7529997825622559,1.3934251070022583,,0.0075230407528579235,0.7526930570602417,0.7494016289710999,1.0,1.0,,1.3379460573196411,0.49756401777267456,0.743896484375,,0.0,0.5074202418327332,1.3904062509536743,1.0,0.5058727860450745,0.7527291774749756,0.5069898366928101,0.4982576370239258,0.7526979446411133,1.0,1.3354848623275757,1.3237179517745972,0.507346510887146,0.7521042823791504,,1.0,,0.011189269833266735,0.7524467706680298,0.986083984375,1.3284138441085815,0.506000280380249,1.3305737972259521,1.0,1.3227835893630981,0.0,1.392867088317871,1.0,1.3919694423675537,1.0,0.7528963088989258,0.506726086139679
